FIPS,YEAR,unemp_rate
13019,2016,5.6
13019,2015,7.3
13019,2014,8.6
13019,2013,9.5
13019,2012,10.1
13019,2011,12.2
13021,2021,5.2
13021,2020,7.8
13021,2019,4.3
13021,2018,4.8
13021,2017,5.6
13021,2016,6.3
13021,2015,6.8
13021,2014,8.1
13021,2013,9.2
13021,2012,10.4
13021,2011,11.3
13023,2021,4.5
13023,2020,5.9
13023,2019,4.7
13023,2018,5.2
13023,2017,6.1
13023,2016,7.2
13023,2015,8.6
13023,2014,11.3
13023,2013,13.9
13023,2012,12.4
13023,2011,13.1
13025,2021,3.3
13025,2020,4.9
13025,2019,3.9
13025,2018,4.1
13025,2017,5.2
13025,2016,6.2
13025,2015,7.6
13025,2014,9.3
13025,2013,10.6
13025,2012,11.8
13025,2011,13.0
13027,2021,3.9
13027,2020,5.4
13027,2019,3.7
13027,2018,4.1
13027,2017,4.7
13027,2016,5.5
13027,2015,6.1
13027,2014,7.2
13027,2013,8.3
13027,2012,9.0
13027,2011,9.8
13029,2021,2.9
13029,2020,5.1
13029,2019,3.1
13029,2018,3.4
13029,2017,4.3
13029,2016,4.9
13029,2015,5.3
13029,2014,6.5
13029,2013,7.4
13029,2012,8.1
13029,2011,9.2
13031,2021,4.2
13031,2020,6.7
13031,2019,4.0
13031,2018,4.3
13031,2017,5.1
13031,2016,5.8
13031,2015,6.1
13031,2014,7.4
13031,2013,8.6
13031,2012,9.6
13031,2011,10.3
13033,2021,5.2
13033,2020,6.3
13033,2019,4.8
13033,2018,5.5
13033,2017,6.5
13033,2016,7.1
13033,2015,8.2
13033,2014,10.1
13033,2013,11.9
13033,2012,12.1
13033,2011,12.4
13035,2021,3.8
13035,2020,6.5
13035,2019,3.7
13035,2018,4.3
13035,2017,5.1
13035,2016,6.0
13035,2015,6.7
13035,2014,7.5
13035,2013,9.2
13035,2012,10.1
13035,2011,11.1
13037,2021,5.1
13037,2020,6.6
13037,2019,4.5
13037,2018,5.2
13037,2017,6.5
13037,2016,7.1
13037,2015,6.3
13037,2014,7.0
13037,2013,8.1
13037,2012,7.7
13037,2011,8.2
13039,2021,3.1
13039,2020,4.7
13039,2019,3.6
13039,2018,4.1
13039,2017,5.0
13039,2016,5.6
13039,2015,5.6
13039,2014,6.6
13039,2013,7.7
13039,2012,8.4
13039,2011,9.4
13043,2021,3.8
13043,2020,5.2
13043,2019,3.6
13043,2018,4.1
13043,2017,4.8
13043,2016,5.6
13043,2015,5.8
13043,2014,7.0
13043,2013,8.1
13043,2012,8.5
13043,2011,9.4
13045,2021,3.5
13045,2020,6.2
13045,2019,3.5
13045,2018,3.9
13045,2017,4.9
13045,2016,5.8
13045,2015,6.8
13045,2014,8.2
13045,2013,9.6
13045,2012,10.1
13045,2011,11.2
13047,2021,2.8
13047,2020,4.5
13047,2019,3.2
13047,2018,3.5
13047,2017,4.3
13047,2016,5.0
13047,2015,5.3
13047,2014,6.2
13047,2013,6.7
13047,2012,7.3
13047,2011,8.0
13049,2021,3.5
13049,2020,4.3
13049,2019,4.3
13049,2018,4.8
13049,2017,5.6
13049,2016,6.3
13049,2015,6.5
13049,2014,7.4
13049,2013,8.4
13049,2012,9.2
13049,2011,10.4
13051,2021,4.2
13051,2020,7.5
13051,2019,3.4
13051,2018,3.7
13051,2017,4.4
13051,2016,5.1
13051,2015,5.9
13051,2014,7.4
13051,2013,8.2
13051,2012,9.1
13051,2011,9.9
13053,2021,6.9
13053,2020,9.4
13053,2019,7.2
13053,2018,8.4
13053,2017,10.3
13053,2016,11.7
13053,2015,8.9
13053,2014,9.7
13053,2013,10.9
13053,2012,11.5
13053,2011,11.3
13055,2021,5.2
13055,2020,9.2
13055,2019,5.8
13055,2018,4.6
13055,2017,5.3
13055,2016,7.0
13055,2015,6.3
13055,2014,7.6
13055,2013,8.9
13055,2012,10.1
13055,2011,10.8
13057,2021,2.6
13057,2020,4.8
13057,2019,2.9
13057,2018,3.2
13057,2017,3.8
13057,2016,4.3
13057,2015,4.7
13057,2014,5.5
13057,2013,6.1
13057,2012,7.0
13057,2011,8.0
13059,2021,3.6
13059,2020,6.0
13059,2019,3.5
13059,2018,3.7
13059,2017,4.4
13059,2016,5.2
13059,2015,6.2
13059,2014,7.0
13059,2013,7.8
13059,2012,8.6
13059,2011,9.1
13061,2021,8.2
13061,2020,10.1
13061,2019,5.8
13061,2018,6.2
13061,2017,7.4
13061,2016,8.7
13061,2015,12.0
13061,2014,11.5
13061,2013,11.3
13061,2012,12.3
13061,2011,12.1
13063,2021,6.2
13063,2020,10.0
13063,2019,4.3
13063,2018,4.8
13063,2017,5.7
13063,2016,6.5
13063,2015,7.7
13063,2014,9.4
13063,2013,10.7
13063,2012,11.8
13063,2011,13.2
13065,2021,3.5
13065,2020,4.7
13065,2019,4.5
13065,2018,5.4
13065,2017,6.5
13065,2016,7.3
13065,2015,7.1
13065,2014,8.4
13065,2013,9.1
13065,2012,9.5
13065,2011,10.7
13067,2021,3.4
13067,2020,6.1
13067,2019,3.2
13067,2018,3.6
13067,2017,4.3
13067,2016,4.8
13067,2015,5.1
13067,2014,6.0
13067,2013,6.6
13067,2012,7.6
13067,2011,8.7
13069,2021,4.1
13069,2020,5.9
13069,2019,4.0
13069,2018,4.6
13069,2017,5.2
13069,2016,5.9
13069,2015,6.8
13069,2014,8.2
13069,2013,9.9
13069,2012,11.2
13069,2011,12.6
13071,2021,3.4
13071,2020,4.7
13071,2019,3.4
13071,2018,3.9
13071,2017,4.7
13071,2016,5.5
13071,2015,6.5
13071,2014,8.1
13071,2013,8.7
13071,2012,8.6
13071,2011,9.3
13073,2021,2.9
13073,2020,4.5
13073,2019,3.4
13073,2018,3.7
13073,2017,4.4
13073,2016,5.0
13073,2015,5.1
13073,2014,5.8
13073,2013,6.4
13073,2012,6.9
13073,2011,7.2
13075,2021,3.6
13075,2020,5.1
13075,2019,3.7
13075,2018,4.0
13075,2017,4.8
13075,2016,5.8
13075,2015,6.8
13075,2014,8.1
13075,2013,8.5
13075,2012,9.3
13075,2011,11.0
13077,2021,3.4
13077,2020,6.3
13077,2019,3.1
13077,2018,3.5
13077,2017,4.3
13077,2016,5.1
13077,2015,5.4
13077,2014,6.2
13077,2013,6.9
13077,2012,7.8
13077,2011,8.9
13079,2021,3.9
13079,2020,5.3
13079,2019,3.9
13079,2018,4.3
13079,2017,5.1
13079,2016,6.1
13079,2015,6.4
13079,2014,7.5
13079,2013,8.8
13079,2012,9.7
13079,2011,10.6
13081,2021,8.8
13081,2020,9.2
13081,2019,3.9
13081,2018,4.8
13081,2017,5.2
13081,2016,6.1
13081,2015,6.9
13081,2014,8.9
13081,2013,11.1
13081,2012,12.3
13081,2011,13.6
13083,2021,3.0
13083,2020,4.6
13083,2019,3.8
13083,2018,4.1
13083,2017,4.9
13083,2016,5.7
13083,2015,5.6
13083,2014,6.3
13083,2013,7.1
13083,2012,7.5
13083,2011,7.8
13085,2021,2.6
13085,2020,4.6
13085,2019,2.9
13085,2018,3.3
13085,2017,3.9
13085,2016,4.7
13085,2015,5.2
13085,2014,6.1
13085,2013,7.3
13085,2012,8.4
13085,2011,10.0
13087,2021,3.8
13087,2020,5.0
13087,2019,4.1
13087,2018,4.9
13087,2017,5.8
13087,2016,6.9
13087,2015,6.9
13087,2014,8.2
13087,2013,9.4
13087,2012,10.0
13087,2011,11.8
13089,2021,4.7
13089,2020,8.0
13089,2019,3.7
13089,2018,4.1
13089,2017,4.9
13089,2016,5.5
13089,2015,6.1
13089,2014,7.3
13089,2013,8.4
13089,2012,9.2
13089,2011,10.3
13091,2021,3.8
13091,2020,5.3
13091,2019,4.9
13091,2018,4.6
13091,2017,5.6
13091,2016,6.6
13091,2015,8.5
13091,2014,9.8
13091,2013,11.3
13091,2012,11.3
13091,2011,12.1
13093,2021,7.6
13093,2020,9.2
13093,2019,3.6
13093,2018,4.5
13093,2017,4.9
13093,2016,5.6
13093,2015,7.6
13093,2014,9.7
13093,2013,11.4
13093,2012,11.3
13093,2011,12.8
13095,2021,6.7
13095,2020,9.3
13095,2019,5.1
13095,2018,5.5
13095,2017,6.4
13095,2016,7.2
13095,2015,7.8
13095,2014,9.3
13095,2013,10.3
13095,2012,11.1
13095,2011,12.0
13097,2021,4.4
13097,2020,7.6
13097,2019,3.8
13097,2018,4.2
13097,2017,5.0
13097,2016,5.7
13097,2015,6.4
13097,2014,7.4
13097,2013,8.5
13097,2012,9.4
13097,2011,10.7
13099,2021,5.7
13099,2020,6.6
13099,2019,4.8
13099,2018,5.4
13099,2017,6.4
13099,2016,8.0
13099,2015,7.0
13099,2014,9.0
13099,2013,9.1
13099,2012,10.0
13099,2011,11.3
13101,2021,2.7
13101,2020,3.9
13101,2019,2.7
13101,2018,3.1
13101,2017,3.8
13101,2016,4.1
13101,2015,4.7
13101,2014,5.9
13101,2013,6.3
13101,2012,7.2
13101,2011,7.9
13103,2021,3.1
13103,2020,5.1
13103,2019,3.1
13103,2018,3.4
13103,2017,4.2
13103,2016,5.0
13103,2015,5.2
13103,2014,6.2
13103,2013,7.1
13103,2012,8.2
13103,2011,9.1
13105,2021,4.6
13105,2020,6.6
13105,2019,3.9
13105,2018,4.6
13105,2017,5.1
13105,2016,6.3
13105,2015,7.5
13105,2014,8.7
13105,2013,10.8
13105,2012,12.4
13105,2011,15.8
13107,2021,4.7
13107,2020,6.4
13107,2019,4.9
13107,2018,5.4
13107,2017,6.1
13107,2016,7.1
13107,2015,8.9
